,Market Name,1,2,3,4,5,Max,Volume,Last price
104,GRSBTC,1.3,1.22,1.33,1.3,1.22,1.33,18.0,0.00002490
105,EVXBTC,1.3,1.23,1.33,1.3,1.23,1.33,17.22,0.00003752
106,CVCBTC,1.3,1.23,1.33,1.3,1.23,1.33,16.88,0.00000464
107,DLTBTC,1.3,1.23,1.33,1.3,1.23,1.33,16.84,0.00000454
108,LRCBTC,1.3,1.23,1.33,1.3,1.23,1.33,15.89,0.00000348
109,SNTBTC,1.29,1.23,1.33,1.3,1.23,1.33,15.76,0.00000147
110,OSTBTC,1.29,1.23,1.33,1.3,1.23,1.33,15.3,0.00000132
111,BCPTBTC,1.3,1.23,1.33,1.3,1.23,1.33,15.27,0.00000329
116,KNCBTC,1.3,1.23,1.33,1.3,1.22,1.33,12.95,0.00001945
117,QLCBTC,1.3,1.23,1.33,1.3,1.22,1.33,12.48,0.00000189
119,CNDBTC,1.3,1.23,1.33,1.3,1.22,1.33,11.98,0.00000090
120,WPRBTC,1.3,1.22,1.33,1.3,1.22,1.33,11.78,0.00000082
121,VIABTC,1.3,1.22,1.33,1.3,1.22,1.33,11.46,0.00002271
122,LSKBTC,1.3,1.23,1.33,1.3,1.22,1.33,11.37,0.00008560
123,STRATBTC,1.3,1.23,1.33,1.3,1.22,1.33,11.3,0.00003530
125,CDTBTC,1.3,1.23,1.33,1.3,1.22,1.33,11.15,0.00000144
126,VIBEBTC,1.3,1.23,1.33,1.3,1.22,1.33,11.11,0.00000206
81,ZILBTC,1.3,1.23,1.31,1.28,1.21,1.31,29.34,0.00000066
82,MFTBTC,1.3,1.23,1.31,1.28,1.23,1.31,28.63,0.00000011
83,RCNBTC,1.3,1.23,1.31,1.28,1.23,1.31,27.98,0.00000452
84,WANBTC,1.3,1.23,1.31,1.29,1.24,1.31,27.62,0.00002446
85,BQXBTC,1.3,1.23,1.31,1.29,1.24,1.31,27.08,0.00000489
86,OAXBTC,1.3,1.23,1.31,1.29,1.24,1.31,26.65,0.00000820
87,NXSBTC,1.3,1.23,1.31,1.29,1.24,1.31,26.52,0.00003662
88,QKCBTC,1.3,1.23,1.31,1.29,1.24,1.31,26.31,0.00000055
89,TNTBTC,1.3,1.23,1.31,1.29,1.23,1.31,25.98,0.00000715
90,EDOBTC,1.3,1.23,1.31,1.29,1.23,1.31,25.86,0.00003486
91,LOOMBTC,1.3,1.23,1.31,1.29,1.23,1.31,24.75,0.00000258
92,BRDBTC,1.3,1.23,1.31,1.29,1.23,1.31,24.12,0.00003920
93,MITHBTC,1.3,1.23,1.31,1.29,1.23,1.31,24.01,0.00000141
1,KAVABTC,0.67,1.28,1.3,1.19,0.96,1.3,2303.16,0.00012218
2,TOMOBTC,0.67,1.26,1.3,1.21,0.98,1.3,2275.08,0.00005026
53,DOCKBTC,1.3,1.21,1.23,1.22,1.17,1.3,62.22,0.00000117
54,RENBTC,1.3,1.21,1.22,1.22,1.17,1.3,60.16,0.00000555
