2019-10-31 21:18:15.491337,ETHUSDT,182.37,0.92,0.65,0.53,0.54,0.65
2019-10-31 21:18:46.114462,ETHUSDT,182.34,0.91,0.65,0.53,0.53,0.65
2019-10-31 21:19:16.727283,ETHUSDT,182.35,0.91,0.65,0.53,0.53,0.65
2019-10-31 21:19:47.242068,ETHUSDT,182.33,0.91,0.65,0.53,0.53,0.65
2019-10-31 21:20:17.860130,ETHUSDT,182.34,0.91,0.65,0.53,0.53,0.65
2019-10-31 21:20:48.374901,ETHUSDT,182.44,0.9,0.65,0.53,0.53,0.65
2019-10-31 21:21:18.994518,ETHUSDT,182.42,0.9,0.64,0.53,0.53,0.65
2019-10-31 21:21:49.610060,ETHUSDT,182.36,0.9,0.64,0.52,0.53,0.65
2019-10-31 21:22:20.228684,ETHUSDT,182.41,0.9,0.64,0.52,0.53,0.64
2019-10-31 21:22:50.846133,ETHUSDT,182.35,0.9,0.64,0.52,0.52,0.64
2019-10-31 21:23:21.463602,ETHUSDT,182.33,0.89,0.64,0.52,0.52,0.64
2019-10-31 21:23:51.978040,ETHUSDT,182.33,0.89,0.63,0.52,0.52,0.64
2019-10-31 21:24:22.597026,ETHUSDT,182.11,0.89,0.63,0.52,0.52,0.64
2019-10-31 21:24:53.215363,ETHUSDT,182.07,0.89,0.63,0.52,0.52,0.64
2019-10-31 21:25:23.833132,ETHUSDT,182.11,0.88,0.63,0.52,0.52,0.64
2019-10-31 21:25:54.350260,ETHUSDT,182.02,0.89,0.64,0.52,0.52,0.64
2019-10-31 21:26:24.966261,ETHUSDT,182.0,0.89,0.64,0.52,0.52,0.64
2019-10-31 21:26:55.585385,ETHUSDT,181.99,0.89,0.64,0.52,0.52,0.64
2019-10-31 21:27:26.207948,ETHUSDT,181.96,0.89,0.64,0.52,0.52,0.64
2019-10-31 21:27:56.718864,ETHUSDT,181.96,0.89,0.64,0.52,0.52,0.64
2019-10-31 21:28:27.234456,ETHUSDT,181.97,0.89,0.64,0.52,0.52,0.64
2019-10-31 21:28:57.852216,ETHUSDT,181.95,0.89,0.64,0.52,0.52,0.64
2019-10-31 21:29:28.470486,ETHUSDT,181.96,0.89,0.64,0.52,0.52,0.64
2019-10-31 21:29:58.984948,ETHUSDT,182.12,0.89,0.64,0.52,0.52,0.64
2019-10-31 21:30:29.603877,ETHUSDT,182.08,0.89,0.64,0.52,0.52,0.64
2019-10-31 21:31:00.226634,ETHUSDT,182.09,0.89,0.64,0.52,0.52,0.64
2019-10-31 21:31:30.838988,ETHUSDT,181.98,0.89,0.64,0.52,0.52,0.64
2019-10-31 21:32:01.354746,ETHUSDT,181.94,0.89,0.64,0.52,0.52,0.64
2019-10-31 21:32:31.870365,ETHUSDT,181.97,0.89,0.64,0.52,0.52,0.64
2019-10-31 21:33:02.487892,ETHUSDT,182.01,0.89,0.64,0.52,0.52,0.64
